indicatorCode,IndicatorScore,Informant,Comment,Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,,Leading Teacher,,Lesson plans and records,1- Lesson plans are prepared in advance,Teaching preparation and planning,2.1.1.1,Planning,2.1.1,Strand 2.1: Teaching Preparation
2,,Leading Teacher,,Classroom observation,2- Learning objectives are clearly stated,Teaching preparation and planning,2.1.1.1,Planning,2.1.1,Strand 2.1: Teaching Preparation
3,,Leading Teacher,,Lesson materials,3- Teaching materials are ready before class,Teaching preparation and planning,2.1.1.1,Planning,2.1.1,Strand 2.1: Teaching Preparation
4,,Leading Teacher,,Student records,4- Student prior knowledge is considered,Teaching preparation and planning,2.1.1.1,Planning,2.1.1,Strand 2.1: Teaching Preparation
5,,Leading Teacher,,Classroom observation,5- Differentiated activities are planned,Teaching preparation and planning,2.1.1.1,Planning,2.1.1,Strand 2.1: Teaching Preparation
6,,Leading Teacher,,Classroom observation,1- Teacher uses varied teaching methods,Effective teaching strategies,2.1.2.1,Delivery,2.1.2,Strand 2.1: Teaching Preparation
7,,Leading Teacher,,Classroom observation,2- Students are actively engaged,Effective teaching strategies,2.1.2.1,Delivery,2.1.2,Strand 2.1: Teaching Preparation
8,,Leading Teacher,,Classroom observation,3- Questions are used to check understanding,Effective teaching strategies,2.1.2.1,Delivery,2.1.2,Strand 2.1: Teaching Preparation
9,,Leading Teacher,,Classroom observation,4- Feedback is provided to students,Effective teaching strategies,2.1.2.1,Delivery,2.1.2,Strand 2.1: Teaching Preparation
10,,Leading Teacher,,Classroom observation,5- Time is managed effectively,Effective teaching strategies,2.1.2.1,Delivery,2.1.2,Strand 2.1: Teaching Preparation
11,,Leading Teacher,,Assessment records,1- Formative assessment is used regularly,Assessment practices,2.2.1.1,Assessment,2.2.1,Strand 2.2: Assessment and Feedback
12,,Leading Teacher,,Assessment records,2- Assessment criteria are shared with students,Assessment practices,2.2.1.1,Assessment,2.2.1,Strand 2.2: Assessment and Feedback
13,,Leading Teacher,,Student work samples,3- Student work is marked constructively,Assessment practices,2.2.1.1,Assessment,2.2.1,Strand 2.2: Assessment and Feedback
14,,Leading Teacher,,Assessment records,4- Assessment data is used to inform teaching,Assessment practices,2.2.1.1,Assessment,2.2.1,Strand 2.2: Assessment and Feedback
15,,Leading Teacher,,Classroom observation,5- Students receive timely feedback,Assessment practices,2.2.1.1,Assessment,2.2.1,Strand 2.2: Assessment and Feedback
